Regiao;Estado;Municipio;Produto;Data da Coleta;Valor de Venda
SE;MG;PATOS DE MINAS;GASOLINA;01/03/22;6,998
SE;MG;PATOS DE MINAS;ETANOL;01/03/22;4,798
SE;MG;PATOS DE MINAS;GASOLINA ADITIVADA;01/03/22;7,198
SE;MG;POCOS DE CALDAS;GASOLINA;01/03/22;6,947
SE;MG;POCOS DE CALDAS;ETANOL;01/03/22;4,597
SE;MG;POCOS DE CALDAS;GASOLINA ADITIVADA;01/03/22;7,097
SE;MG;POCOS DE CALDAS;GASOLINA;01/03/22;6,89
SE;MG;POCOS DE CALDAS;ETANOL;01/03/22;4,69
SE;MG;POCOS DE CALDAS;GASOLINA ADITIVADA;01/03/22;6,99
SE;MG;POCOS DE CALDAS;GASOLINA;01/03/22;6,899
SE;MG;POCOS DE CALDAS;ETANOL;01/03/22;4,499
SE;MG;POCOS DE CALDAS;GASOLINA ADITIVADA;01/03/22;6,999
SE;MG;POCOS DE CALDAS;GASOLINA;01/03/22;6,899
SE;MG;POCOS DE CALDAS;ETANOL;01/03/22;4,599
SE;MG;POCOS DE CALDAS;GASOLINA;01/03/22;6,69
SE;MG;POCOS DE CALDAS;ETANOL;01/03/22;4,58
SE;MG;POCOS DE CALDAS;GASOLINA ADITIVADA;01/03/22;6,99
SE;MG;POCOS DE CALDAS;GASOLINA;01/03/22;6,699
SE;MG;POCOS DE CALDAS;ETANOL;01/03/22;4,699
SE;MG;POCOS DE CALDAS;GASOLINA ADITIVADA;01/03/22;6,799
SE;MG;POCOS DE CALDAS;GASOLINA;01/03/22;6,749
SE;MG;POCOS DE CALDAS;ETANOL;01/03/22;4,549
SE;MG;POCOS DE CALDAS;GASOLINA;01/03/22;6,899
SE;MG;POCOS DE CALDAS;ETANOL;01/03/22;4,559
SE;MG;POCOS DE CALDAS;GASOLINA ADITIVADA;01/03/22;7,099
SE;MG;SETE LAGOAS;GASOLINA;01/03/22;6,74
SE;MG;SETE LAGOAS;ETANOL;01/03/22;4,649
SE;MG;SETE LAGOAS;GASOLINA;01/03/22;6,69
SE;MG;SETE LAGOAS;ETANOL;01/03/22;4,59
SE;MG;SETE LAGOAS;GASOLINA;01/03/22;6,679
SE;MG;SETE LAGOAS;ETANOL;01/03/22;4,579
SE;MG;SETE LAGOAS;GASOLINA ADITIVADA;01/03/22;6,699
SE;MG;SETE LAGOAS;GASOLINA;01/03/22;6,978
SE;MG;SETE LAGOAS;ETANOL;01/03/22;4,989
SE;MG;SETE LAGOAS;GASOLINA;01/03/22;6,799
SE;MG;SETE LAGOAS;ETANOL;01/03/22;4,699
SE;MG;SETE LAGOAS;GASOLINA ADITIVADA;01/03/22;6,799
SE;MG;SETE LAGOAS;GASOLINA;01/03/22;6,74
SE;MG;SETE LAGOAS;ETANOL;01/03/22;4,65
SE;MG;SETE LAGOAS;GASOLINA ADITIVADA;01/03/22;6,74
SE;MG;SETE LAGOAS;GASOLINA;01/03/22;6,799
SE;MG;SETE LAGOAS;ETANOL;01/03/22;4,659
SE;MG;SETE LAGOAS;GASOLINA ADITIVADA;01/03/22;6,799
SE;MG;SETE LAGOAS;GASOLINA;01/03/22;6,759
SE;MG;SETE LAGOAS;ETANOL;01/03/22;4,659
SE;MG;SETE LAGOAS;GASOLINA ADITIVADA;01/03/22;6,959
SE;MG;SETE LAGOAS;GASOLINA;01/03/22;6,849
SE;MG;SETE LAGOAS;ETANOL;01/03/22;4,659
SE;MG;SETE LAGOAS;GASOLINA ADITIVADA;01/03/22;6,949
SE;MG;SETE LAGOAS;GASOLINA;01/03/22;6,74
SE;MG;SETE LAGOAS;ETANOL;01/03/22;4,649
SE;MG;SETE LAGOAS;GASOLINA;01/03/22;6,74
SE;MG;SETE LAGOAS;ETANOL;01/03/22;4,649
SE;MG;SETE LAGOAS;GASOLINA;01/03/22;6,69
SE;MG;SETE LAGOAS;ETANOL;01/03/22;4,59
SE;MG;SETE LAGOAS;GASOLINA;01/03/22;6,75
SE;MG;SETE LAGOAS;ETANOL;01/03/22;4,65
SE;MG;SETE LAGOAS;GASOLINA;01/03/22;6,69
SE;MG;SETE LAGOAS;ETANOL;01/03/22;4,59
CO;MS;CAMPO GRANDE;GASOLINA;01/03/22;6,297
CO;MS;CAMPO GRANDE;ETANOL;01/03/22;4,657
CO;MS;CAMPO GRANDE;GASOLINA ADITIVADA;01/03/22;6,497
CO;MS;CAMPO GRANDE;GASOLINA;01/03/22;6,299
CO;MS;CAMPO GRANDE;ETANOL;01/03/22;4,656
