Regiao - Sigla;Estado - Sigla;Municipio;Produto;Data da Coleta;Valor de Venda
SE;MG;PARA DE MINAS;GASOLINA ADITIVADA;03/01/22;7,49
SE;MG;PARA DE MINAS;GASOLINA;03/01/22;7,04
SE;MG;PARA DE MINAS;ETANOL;03/01/22;5,2
SE;MG;PARA DE MINAS;GASOLINA ADITIVADA;03/01/22;7,13
SE;MG;PATROCINIO;GASOLINA;03/01/22;6,879
SE;MG;PATROCINIO;ETANOL;03/01/22;5,199
SE;MG;PATROCINIO;GASOLINA ADITIVADA;03/01/22;6,879
CO;MS;DOURADOS;GASOLINA;03/01/22;6,199
CO;MS;DOURADOS;ETANOL;03/01/22;5,259
CO;MS;DOURADOS;GASOLINA;03/01/22;6,499
CO;MS;DOURADOS;ETANOL;03/01/22;5,459
CO;MS;DOURADOS;GASOLINA ADITIVADA;03/01/22;6,699
CO;MT;CACERES;GASOLINA;03/01/22;6,269
CO;MT;CACERES;ETANOL;03/01/22;4,769
CO;MT;CACERES;GASOLINA;03/01/22;6,29
CO;MT;CACERES;ETANOL;03/01/22;4,76
CO;MT;CACERES;GASOLINA ADITIVADA;03/01/22;6,39
CO;MT;CACERES;GASOLINA;03/01/22;6,26
CO;MT;CACERES;ETANOL;03/01/22;4,71
CO;MT;CUIABA;GASOLINA;03/01/22;6,377
CO;MT;CUIABA;ETANOL;03/01/22;4,433
CO;MT;CUIABA;GASOLINA ADITIVADA;03/01/22;6,377
CO;MT;CUIABA;GASOLINA;03/01/22;6,599
CO;MT;CUIABA;ETANOL;03/01/22;4,699
CO;MT;CUIABA;GASOLINA;03/01/22;6,477
CO;MT;CUIABA;ETANOL;03/01/22;4,499
CO;MT;CUIABA;GASOLINA ADITIVADA;03/01/22;6,555
CO;MT;CUIABA;GASOLINA;03/01/22;6,699
CO;MT;CUIABA;ETANOL;03/01/22;4,499
CO;MT;CUIABA;GASOLINA ADITIVADA;03/01/22;6,799
CO;MT;CUIABA;GASOLINA;03/01/22;6,45
CO;MT;CUIABA;ETANOL;03/01/22;4,47
CO;MT;CUIABA;GASOLINA;03/01/22;6,455
CO;MT;CUIABA;ETANOL;03/01/22;4,455
CO;MT;CUIABA;GASOLINA;03/01/22;6,477
CO;MT;CUIABA;ETANOL;03/01/22;4,499
CO;MT;CUIABA;GASOLINA ADITIVADA;03/01/22;6,677
CO;MT;CUIABA;GASOLINA;03/01/22;6,599
CO;MT;CUIABA;ETANOL;03/01/22;4,699
CO;MT;CUIABA;GASOLINA ADITIVADA;03/01/22;6,599
N;PA;ALTAMIRA;GASOLINA;03/01/22;6,99
N;PA;BELEM;GASOLINA;03/01/22;6,79
N;PA;BELEM;ETANOL;03/01/22;6,09
N;PA;BELEM;GASOLINA ADITIVADA;03/01/22;6,89
N;PA;BELEM;GASOLINA;03/01/22;6,699
N;PA;BELEM;ETANOL;03/01/22;5,999
N;PA;BELEM;GASOLINA ADITIVADA;03/01/22;7,099
N;PA;BELEM;GASOLINA;03/01/22;6,599
N;PA;BELEM;ETANOL;03/01/22;6,399
N;PA;BELEM;GASOLINA ADITIVADA;03/01/22;6,999
N;PA;BELEM;GASOLINA;03/01/22;6,65
N;PA;BELEM;ETANOL;03/01/22;6,45
N;PA;BELEM;GASOLINA ADITIVADA;03/01/22;6,87
N;PA;BELEM;GASOLINA;03/01/22;6,65
N;PA;BELEM;ETANOL;03/01/22;5,99
